Timestamp,2026-01-22T01:13:40.244510
URL,https://www.bajus.org/gold-price

Table 1
Product,Description,Price
22 KARAT Gold,CADMIUM (HALLMARKED GOLD),"21,645 BDT/GRAM"
21 KARAT Gold,CADMIUM (HALLMARKED GOLD),"20,660 BDT/GRAM"
18 KARAT Gold,CADMIUM (HALLMARKED GOLD),"17,710 BDT/GRAM"
TRADITIONAL Gold,,"14,545 BDT/GRAM"

Table 2
Product,Description,Price
22 KARAT Silver,CADMIUM (HALLMARKED),590 BDT/GRAM
21 KARAT Silver,CADMIUM (HALLMARKED),560 BDT/GRAM
18 KARAT Silver,CADMIUM (HALLMARKED),480 BDT/GRAM
TRADITIONAL Silver,,360 BDT/GRAM

